Category,sub_category,total_sales
Furniture,Chairs,322822.73
Furniture,Tables,202810.63
Furniture,Bookcases,113813.2
Furniture,Furnishings,89212.02
Office Supplies,Storage,219343.39
Office Supplies,Binders,200028.78
Office Supplies,Appliances,104618.4
Office Supplies,Paper,76828.3
Office Supplies,Supplies,46420.31
Office Supplies,Art,26705.41
Office Supplies,Envelopes,16128.05
Office Supplies,Labels,12347.73
Office Supplies,Fasteners,3001.96
Technology,Phones,327782.45
Technology,Machines,189238.63
Technology,Accessories,164186.7
Technology,Copiers,146248.09